id;de;fr;en
TITLE;ALGAE CARE;ALGAE CARE;ALGAE CARE
;start bildschirm;écran de démarrage;start screen
STARTSCREEN;Willkommen bei Algae Care! Wusstest du, dass Algen die Lunge unseres Planeten sind? Hilf mit, sie zu schützen!;Bienvenue chez Algae Care ! Savais-tu que les algues sont les poumons de notre planète ? Aide-nous à les protéger !;Welcome to Algae Care! Did you know that algae are the lungs of our planet? Help protect them!
SUBTITLE;> axolotl einwerfen <;> jeter axolotl < ;> throw in axolotl < 
NOT_AXOLOTL;"Das war leider nicht das Axolotl.

Finde das richtige Objekt und platziere es oben auf die leuchtende Stelle um das Spiel zu beginnen.";"Malheureusement, ce n'était pas l'axolotl.

Trouve le bon objet et place-le en haut de la zone lumineuse pour commencer le jeu.";"Unfortunately, that wasn't the axolotl.

Find the right object and place it on top of the glowing spot to start the game."
AXOLOTL_INTRODUCTION;"Hi! Ich bin Axolina, deine Begleiterin. Algen produzieren Sauerstoff und sind superwichtig für mein Leben im Meer!

Algen sind nicht nur Pflanzen! Sie reinigen das Wasser, sind Futter für viele Meerestiere und sind wichtig für unser Klima!

> Such dir ein Objekt aus und finde heraus, wie es das Meer beeinflusst. Platziere es oben auf die leuchtende Stelle. Du hast 2 Minuten Zeit.";"Salut ! Je suis Axolina, ta compagne. Les algues produisent de l'oxygène et sont super importantes pour ma vie dans la mer !

Les algues ne sont pas que des plantes ! Elles purifient l'eau, nourrissent de nombreux animaux marins et sont importantes pour notre climat !

> Choisis un objet et découvre comment il influence la mer. Place-le en haut de la zone lumineuse.";"Hi! I'm Axolina, your companion. Algae produce oxygen and are super important for my life in the sea!

Algae are not just plants! They clean the water, are food for many marine animals and are important for our climate!

> Pick an object and find out how it affects the sea. Place it on top of the glowing spot."
;;;
NOT_OBJECT;Oh nein! Dieses Objekt kennen ich leider nicht. Wähle ein Objekt von unten aus.;Oh non ! Je ne connais malheureusement pas cet objet. Choisis un objet en bas.;Oh no! Unfortunately I don't know this object. Select an object from below.
OBJECT_GARBAGE_BAG;"Oh nein, Müll landet leider oft im Meer! Er verschmutzt unser Wasser, blockiert das Sonnenlicht für die Algen wodurch sie absterben und ist gefährlich für alle Meerestiere. Das schadet dem ganzen Ökosystem!

> Versuche es mit einem anderen Objekt";Ces déchets finissent souvent dans la mer ! Les algues s'y emmêlent et meurent, alors que nous avons tant besoin d'elles pour produire de l'oxygène !;"Oh no, unfortunately garbage often ends up in the sea! It pollutes our water, blocks the sunlight for the algae, causing them to die and is dangerous for all marine animals. It harms the whole ecosystem!

> Try another object"
OBJECT_RECYCLING_BIN;"Super! Kompost bringt Nährstoffe ins Meer, die Algen zum Wachsen brauchen. Aber Achtung: bei zu viel Nährstoffen stört das das Gleichgewicht. Es können somit auch schlechte Algen wachsen. Diese heissen Algenblüten.

> Wähle das nächste Objekt";"Super ! Le compost apporte à la mer des nutriments dont les algues ont besoin pour se développer. Mais attention : s'il y a trop de nutriments, cela perturbe l'équilibre. De mauvaises algues peuvent alors se développer. Celles-ci s'appellent des fleurs d'algues.

> Choisir l'objet suivant";"Super! Compost brings nutrients into the sea that algae need to grow. But beware: too much nutrient disturbs the balance. This means that bad algae can also grow. These are called algal blooms.

> Select the next object"
